gid_nba,game_date,xid_possession,xid_chance,team_nba_off,team_nba_def,period,gameClock_start,gameClock_end,startType,outcome,score_margin,ptsScored_team,shot_fga,shot_fg,shot_fga3,shot_fg3,shot_qSP,shot_m_region,fouls_def,fouls_def_shooting,fta,fta_shooting,team_nba_winner
0022101127,2022-03-28,c7c33ae0-91cb-545b-9582-3ab2eb8acbb6,067dd7cf-dfad-5ee0-99af-38caf2d68c2b,BOS,TOR,5,8.3,2.78,FGORB,FGX3,-3,0,1,0,1,0,44.1150951862,ATB,null,null,null,null,TOR
0022100479,2021-12-23,100d4109-9f2e-5f09-987b-037df8fde4cc,66aa94d9-00ac-5aee-9cad-f0708f1dc481,DET,MIA,4,22.06,12.38,FGDRB,TMO,-3,0,null,null,null,null,null,null,null,null,null,null,MIA
0022101034,2022-03-16,ef14a582-176b-5eaf-b2fe-721130fb8e82,023265f0-cb06-5790-8b53-c9dd3ace336e,CLE,PHI,4,16.8,15.46,SLOB,FOU_B,-3,2,null,null,null,null,null,null,1,0,2,0,PHI
0022100854,2022-02-12,d9a43033-2e0a-5cb7-acd8-39aa9b7e3199,134ad026-56af-589c-bc6e-e842c1760980,LAL,GSW,4,7.3,2.48,SLOB,FOU_S,-3,1,0,0,0,0,null,ATB,1,1,3,3,GSW
0022100363,2021-12-07,73f48d49-96d1-56c6-8880-370c241ab2c1,b91efb6b-ba81-518f-8d8b-802ebaaa4a95,DAL,BKN,4,14.9,0,FGORB,FGX3,-3,0,1,0,1,0,49.6434674377,ATB,null,null,null,null,BKN
0022100887,2022-02-17,2c5323a0-3350-5e94-b3fe-01de32c60dbe,6dd4cc2c-172c-5538-9fab-b5cdcf03358f,MIL,PHI,4,13.4,8.48,SLOB,FGX3,-3,0,1,0,1,0,39.6844493716,ATB,null,null,null,null,PHI
0022100663,2022-01-17,558d9e0e-b50e-539d-b354-06b893ec47cc,bceb9e19-bc0d-5813-8245-e20974d784ee,OKC,DAL,4,20,18.02,SLOB,TO,-3,0,null,null,null,null,null,null,null,null,null,null,DAL
0022100954,2022-03-05,7c5bf7aa-480c-54ed-a598-340be3b24103,8314a7da-462b-54fb-9a3a-66aea15fcc5e,SAC,DAL,4,3.3,0.56,SLOB,FGX3,-3,0,1,0,1,0,21.0826158772,ATB,null,null,null,null,DAL
0022100422,2021-12-15,334ef455-c2d5-534c-9d9b-d7f12209cf18,7316bafb-4317-5848-8906-a9f5f08e61ae,OKC,NOP,4,4.5,1.48,SLOB,FGM3,-3,3,null,null,null,null,null,null,null,null,null,null,NOP
0022100448,2021-12-19,81c97141-b28a-5bb6-ae83-220651acc7aa,0d03e678-2235-59d1-8c9a-92ef371bdd50,LAL,CHI,4,8.82,3.9,FGORB,FGX3,-3,0,1,0,1,0,48.7535440693,ATB,null,null,null,null,CHI
0022100889,2022-02-24,64b17cf2-05fd-5400-806b-9770ca9f4aae,2f22d4d6-7af0-5103-b97f-569381e391c8,CLE,DET,4,12.96,1,FGORB,FGX3,-3,0,1,0,1,0,55.0125518332,ATB,null,null,null,null,DET
0022100569,2022-01-05,ae8f2d2d-6092-5eaf-a93f-99aceeaa0bb3,4eab3779-4876-55d1-ada9-3dbdac241dff,WAS,HOU,4,0.44,0,SLOB,FGX3,-3,0,1,0,1,0,41.261802249,Corner,null,null,null,null,HOU
0022100241,2021-11-20,2cdc3cda-f4f0-5e9f-815e-4e523d24cfec,f524c505-44ee-5178-bb6a-2574f68e9f7c,MIA,WAS,4,12.44,0.94,SLOB,FGX3,-3,0,1,0,1,0,38.0092786531,ATB,null,null,null,null,WAS
0022100368,2021-12-08,d7576ce7-7c7d-57c6-a3a5-84e3390c25d9,18469f57-06ce-599b-bab9-62da8512ed61,DET,WAS,5,0.6,0,SLOB,FGX3,-3,0,null,null,null,null,null,null,null,null,null,null,WAS
0022100078,2021-10-30,cbb1f9ea-9d5b-552d-86cb-16e2c1a78fc2,36f0c949-598b-50ea-80df-3b53cd18f005,BOS,WAS,6,20.6,17.02,SLOB,TO,-3,0,null,null,null,null,null,null,null,null,null,null,WAS
0022101044,2022-03-16,55c12050-b89e-5f69-bd62-17e1b4e5f12e,816833a0-abf0-5f92-bb87-f193556aaad5,LAC,TOR,4,6.2,0.1,SLOB,FGX3,-3,0,1,0,1,0,39.833863035,ATB,null,null,null,null,TOR
0022100078,2021-10-30,38cc50ce-7031-5ad2-ab75-4af26f4e601e,e957656d-a92d-5b7e-9328-957e07e252c8,BOS,WAS,6,17,10.38,TO,TMO,-3,0,null,null,null,null,null,null,null,null,null,null,WAS
0022100231,2021-11-19,f14b98fb-470f-598e-a2dd-d99f33764783,d48041a6-1a36-5391-8a70-52ce526b9ffa,DET,GSW,4,8.6,2.08,FGORB,FGX3,-3,0,1,0,1,0,29.3520662606,ATB,null,null,null,null,GSW
0022100134,2021-11-06,4e5e840c-9ed5-5f1a-81e2-5dd67c1c50fc,56c42930-8265-5ba7-b674-f851b291a5f5,UTA,MIA,4,10.4,7.82,SLOB,FGX3,-3,0,1,0,1,0,32.398517664,ATB,null,null,null,null,MIA
0022100137,2021-11-06,2219462f-9aee-5bf0-a28e-ddba80952dde,eebcc23c-9eba-55e7-8298-cfa8a52a6f24,ATL,PHX,4,19.3,14.96,SLOB,FGX3,-3,0,1,0,1,0,32.2842200754,ATB,null,null,null,null,PHX
0022100593,2022-01-08,d7ff086a-602e-581f-ac40-253de7065985,1be56f3e-9beb-5170-b795-7f37dca6dcc7,ORL,DET,4,8,2.9,SLOB,FGX3,-3,0,1,0,1,0,31.7464543791,ATB,null,null,null,null,DET
0022100206,2021-11-15,820d4ddc-7e10-5e35-aa64-fc3da6cae1fa,5e5047e7-5111-5777-936c-0e335a889a36,MIN,PHX,4,19.1,17.88,SLOB,FGM,-3,2,1,1,0,0,98.8950865707,NRA,null,null,null,null,PHX
0022100887,2022-02-17,7f760802-adb0-56bb-b03d-a10392b2c462,f4134fe3-5366-5ca6-8dfe-269c1f780dde,MIL,PHI,4,1.2,0,SLOB,FGX3,-3,0,null,null,null,null,null,null,null,null,null,null,PHI
0022101149,2022-03-31,290db0d7-3dfa-5479-b805-f7871d9aef04,41644791-c1a8-57f9-8862-a36798ed70b8,CHI,LAC,4,11.8,9.38,SLOB,FGM,-3,2,1,1,0,0,92.0673707447,RA,null,null,null,null,CHI
0022100422,2021-12-15,a404a509-6f31-516f-976b-a8aaadd86856,23238c77-141d-5ae8-8eee-b1d5031381a1,OKC,NOP,4,7.2,5.66,SLOB,FOU_B,-3,2,null,null,null,null,null,null,1,0,2,0,NOP
0022100416,2021-12-14,71c2b187-3e08-5a67-816f-b0edb9e9fa9a,a9bb2510-4b42-5a2a-81d4-70f4e26bd8f8,POR,PHX,5,21.1,13.14,FGDRB,FOU_N,-3,0,null,null,null,null,null,null,1,0,null,null,PHX
0022100149,2021-11-08,b654bd35-17d8-5858-a7b0-b1faa22ac038,5ed08b11-4058-529a-9dd4-7f39cdfe5578,MIN,MEM,4,1.1,0,SLOB,FGM3,-3,3,null,null,null,null,null,null,null,null,null,null,MEM
0022100153,2021-11-08,10d62890-46ac-5253-98a6-693f22fd4abe,ef78a266-a386-5fa0-a836-7559b7b15867,SAC,PHX,4,7.84,5.78,FTDRB,TO,-3,0,null,null,null,null,null,null,null,null,null,null,PHX
0022101012,2022-03-13,d5938e2a-5fa1-5acb-9f24-4044d3f6a4bb,d669d82f-80ef-5c9f-a75f-84bdc5f70f23,NYK,BKN,4,6.6,2.66,FTM,FOU_B,-3,2,null,null,null,null,null,null,1,0,2,0,BKN
0022100832,2022-02-10,33ad945e-3790-5378-9aa2-007c657f657c,8e53e207-bdb9-5115-8224-afa4d968d9a3,BKN,WAS,4,19.94,7.32,FGDRB,FOU_S,-3,2,0,0,0,0,null,RA,1,1,2,2,WAS
0022100730,2022-01-24,7df63958-1f67-5320-a189-d32339d06112,6761ca5a-e48f-5308-89d8-85e228d033cc,OKC,CHI,4,9.9,2.28,FTM,FGX3,-3,0,1,0,1,0,37.5691032658,ATB,null,null,null,null,CHI
0022100420,2021-12-15,1f7cf456-ec2c-5699-ab26-4b09663f640b,b1496207-ee7c-5ed2-ac7a-8fa036f83449,LAL,DAL,4,17.96,5.36,FGDRB,FGX3,-3,0,1,0,1,0,43.8328654604,ATB,null,null,null,null,LAL
0022100123,2021-11-04,1aab8777-710e-5870-b6b6-9c420dde138b,fb23c72c-a274-56bf-87e4-8da3b1eda8bd,LAL,OKC,4,7.8,1.22,FTM,FGX3,-3,0,1,0,1,0,28.2876875782,ATB,null,null,null,null,OKC
0022100046,2021-10-25,09131866-0c5c-52e2-92c2-6591bfe5fad4,bb8c906c-1238-5359-809a-9a7b6eac6529,TOR,CHI,4,9.7,0,FTM,FGX3,-3,0,1,0,1,0,48.2620145946,ATB,null,null,null,null,CHI
0022101050,2022-03-18,69b61faa-3e5f-553b-95e5-bf54e2494c33,152e7d66-ca99-5417-8264-ef4bc17d4171,WAS,NYK,4,4.9,0,SLOB,FGX3,-3,0,1,0,1,0,34.6384906089,ATB,null,null,null,null,NYK
0022100704,2022-01-23,597424d6-1953-5154-96fa-034ff997c6e6,cea553c1-70d5-5745-9a2c-1e584ef082ec,SAS,PHI,4,14.9,7.32,FTM,FGX3,-3,0,1,0,1,0,30.9560095983,ATB,null,null,null,null,PHI
0022000027,2020-12-26,fa289ed9-2ca4-5a10-a322-2745db1c29ed,bd5ec115-6a95-5fe2-8451-4abe04aa43b3,TOR,SAS,4,8.4,3.1,BLOB,FGX3,-3,0,1,0,1,0,47.7857888732,ATB,null,null,null,null,SAS
0022000336,2021-02-03,6cd5de49-1d8e-5c37-8161-3d7a3f590929,ebf3a141-4c11-5abb-b4c9-3278d6fcccfd,BOS,SAC,4,9.3,7.4,SLOB,FOU_B,-3,0,null,null,null,null,null,null,1,0,2,0,SAC
0022000792,2021-04-09,01bd5d2c-df0b-5295-99de-59f8d82519b1,e8c0eedb-dad4-598a-868b-c20f00769993,MIN,BOS,4,17.3,8.6,SLOB,FGM3,-3,3,1,1,1,1,39.3874579811,ATB,null,null,null,null,BOS
0022000348,2021-02-05,5ee77ef6-2cac-5e23-984a-7d75b6405078,1227f89c-e1dc-56dd-811a-81e6885e9501,OKC,MIN,4,2.9,0,SLOB,FGX3,-3,0,1,0,1,0,34.1767132516,ATB,null,null,null,null,MIN
0022000846,2021-04-16,7cc69eb6-ebda-524f-aec1-7f49b1752cd0,300daad5-010b-5d10-9d12-c07fe301d13d,LAC,PHI,4,9.8,5.18,SLOB,FGX3,-3,0,1,0,1,0,40.5310770135,ATB,null,null,null,null,PHI
0022000754,2021-04-03,49ca26ea-2940-53d9-b00c-84506fa90b3a,38a11c5f-2927-5d77-9db3-6f3e9bff0a2f,SAC,MIL,4,9.4,3.54,FTM,FGM,-3,2,1,1,0,0,87.9198663063,RA,null,null,null,null,MIL
0022000554,2021-03-04,49150851-1003-5ce9-8cb1-7108beadc44f,81343098-8083-5d92-a585-a9a57547c861,LAC,WAS,4,11.7,8.6,SLOB,FOU_B,-3,2,null,null,null,null,null,null,1,0,2,0,WAS
0022001042,2021-05-12,6d0e899a-00ed-5433-adf9-0b67905e88e6,327e2e14-d36e-5532-898c-64b67fea465c,WAS,ATL,4,13.2,7.22,SLOB,FGX3,-3,0,1,0,1,0,39.9468896806,ATB,null,null,null,null,ATL
0022000604,2021-03-15,dfe80070-e4da-599e-8db1-b6733316915d,9f47339b-3c6e-57c1-bb13-7802b2fe4b06,NYK,BKN,4,5.7,3.28,JMP,TO,-3,0,null,null,null,null,null,null,null,null,null,null,BKN
0022000984,2021-05-04,eeab61ae-b5db-5988-a473-0d0cb6e7793a,7b77d0c8-3ea4-5106-a33e-c1e37297d40a,DET,CHA,4,5.84,0,FTM,FGX3,-3,0,1,0,1,0,33.814360847,ATB,null,null,null,null,CHA
0022000249,2021-01-24,a5e3f4e8-28ee-5de4-b2af-3d92d34d110b,38e68fff-3d2c-5d1e-b6e5-ca3a5a61dab0,IND,TOR,4,18.04,7.7,FTM,FGX,-3,0,1,0,0,0,82.1600919895,RA,null,null,null,null,TOR
0022000479,2021-02-22,d86434f3-4850-58e3-8556-3e410ffddb59,eb2464ea-cfd9-513c-a9ae-637f413c24a3,LAL,WAS,5,11.64,3.98,FTDRB,FGX3,-3,0,1,0,1,0,30.6843347847,ATB,null,null,null,null,WAS
0022000324,2021-02-02,5e51281d-d2d3-5af8-ac78-0def54193999,b3f074c4-b9cd-5200-8989-abdcec90c6d9,LAC,BKN,4,9.8,7.18,FTM,FOU_B,-3,2,null,null,null,null,null,null,1,0,2,0,BKN
0022000862,2021-04-18,525f1cc6-d59f-524c-b076-066efd00ab06,4ab79120-0e5f-5da6-981b-5c389982fada,NYK,NOP,4,7.8,2.34,SLOB,FGM3,-3,3,1,1,1,1,57.1346618156,Corner,null,null,null,null,NYK
0022000063,2020-12-31,7911b372-76ed-565e-bcec-0c2b714790ea,94b15002-7f93-578e-aa53-a828b95aea81,WAS,CHI,4,14.2,6.66,SLOB,FGX3,-3,2,1,0,1,0,43.9910372615,ATB,null,null,null,null,CHI
0022000336,2021-02-03,6cd5de49-1d8e-5c37-8161-3d7a3f590929,19f838c7-adeb-5640-b665-b27c991831c7,BOS,SAC,4,7.4,2.9,FTORB,FGX3,-3,0,1,0,1,0,45.1084989023,Corner,null,null,null,null,SAC
0022000614,2021-03-16,9b844f2b-0aae-5c45-aec4-62be395d40ee,e7907454-bdf7-5992-a055-6342097379f6,POR,NOP,4,6.9,5.24,SLOB,FOU_B,-3,2,null,null,null,null,null,null,1,0,2,0,POR
0022000310,2021-01-31,ca0d7b8b-3f0e-5d6d-a339-68a1922a8dd8,d10db65e-8c5a-570a-9e3d-386c309acc7d,WAS,BKN,4,23.3,14,FTM,FGX3,-3,0,1,0,1,0,30.0264332342,ATB,null,null,null,null,WAS
0022000878,2021-04-20,09e1af12-ebe2-5ddd-a1a1-e68e01561f91,5135fa6e-1aff-51ed-92d4-94502e06f1d9,NOP,BKN,4,12.4,11.46,SLOB,FOU_B,-3,2,null,null,null,null,null,null,1,0,2,0,BKN
0022000350,2021-02-05,163313a3-720c-5fe2-9284-61d9512ef2df,5d5f289c-0734-5526-9225-8b376839bf49,LAC,BOS,4,5.7,0,FTM,EPD,-3,0,null,null,null,null,null,null,null,null,null,null,BOS
0022000288,2021-01-29,b14ba702-7988-59e9-8eae-31908a132c6d,9869a822-9574-50a3-96da-dcbe4ae92620,IND,CHA,4,8.7,4.04,SLOB,FGX3,-3,0,1,0,1,0,42.0081937852,ATB,null,null,null,null,CHA
0022000585,2021-03-12,d6e88c33-84cf-5227-85f7-197e3efad470,36e68973-13c6-5450-8465-91f4befc0ec0,IND,LAL,4,18.02,9.98,FGDRB,TMO,-3,0,null,null,null,null,null,null,null,null,null,null,LAL
0022000100,2021-01-04,e067816b-bd39-5b24-9467-23109b5a6677,2a05e45d-80fc-59ed-87dc-57c4d4acb837,IND,NOP,4,13.98,7,TO,FGM3,-3,3,1,1,1,1,42.4065180874,ATB,null,null,null,null,IND
0022000691,2021-03-26,f87fe3bd-3bc1-556c-9d12-bdfd1c9043c3,6ba21916-0a29-5a40-9d9a-231bcd34ef64,MEM,UTA,4,13.34,4.44,SLOB,FGX3,-3,0,1,0,1,0,36.3526396995,ATB,null,null,null,null,UTA
0022000837,2021-04-14,dacc150c-a56c-5e2b-874e-b864b62f17fa,b52a60a8-af58-5a0d-8588-718f6de7c37f,DAL,MEM,4,12.6,3.3,SLOB,FOU_S,-3,1,0,0,0,0,null,NRA,1,1,2,2,DAL
0022000524,2021-02-28,516af352-49bc-5b8c-b65c-288e349dbcb2,93432736-3633-5312-9f8f-48df0a7c9f42,BOS,WAS,4,19.7,15.04,SLOB,FGM,-3,2,1,1,0,0,61.5136615467,RA,null,null,null,null,BOS
0022000105,2021-01-05,a1234c1b-2d75-5342-808d-533596a689b6,6b82e5a2-ca25-5828-b074-d45c6fc4478c,LAC,SAS,4,5.7,0.8,SLOB,FGX3,-3,0,1,0,1,0,31.5312094803,ATB,null,null,null,null,SAS
0022000543,2021-03-03,72dc4681-723c-5c89-a2d4-e24882031447,ed598741-ee10-5a53-94e8-0b160dbbc58c,CLE,IND,4,11.64,3.86,DEFOB,FGX3,-3,0,1,0,1,0,37.1135127718,ATB,null,null,null,null,IND
0022000997,2021-05-06,09272232-fba4-5be2-8fb3-c843cdcad49e,382f7b55-856d-5018-9ba8-aef813090d5a,TOR,WAS,5,7.3,5.76,SLOB,FOU_B,-3,2,null,null,null,null,null,null,1,0,2,0,WAS
0022000437,2021-02-17,b5d839a4-6bc8-57a6-8e4a-a6fa38fd26c8,08a1b6b8-ef9c-5555-9d51-2ba9e699478d,DEN,WAS,4,8.8,5.94,FTM,FOU_N,-3,0,null,null,null,null,null,null,1,0,null,null,WAS
0022000611,2021-03-16,4de85145-74ab-5a6a-acd4-7234a09d044a,ffd697ba-8403-5de5-bdc8-a3dd04b1aaf2,NYK,PHI,4,15.1,11.64,SLOB,FGX3,-3,0,1,0,1,0,41.202785212,ATB,null,null,null,null,PHI
0022000798,2021-04-09,884bc219-579e-5d98-a48b-18a6b76bdfee,ecc24be1-f2e7-5ae5-afa6-0640795a90e1,GSW,WAS,4,1.2,0,SLOB,EPD,-3,0,null,null,null,null,null,null,null,null,null,null,WAS
0022000374,2021-02-08,2bac441a-dac0-5623-bff2-bf3b1f4b643b,8483d576-9b8a-5f22-ab01-5b50bc8b23ff,OKC,LAL,4,15.9,8.88,FTDRB,FGX,-3,0,1,0,0,0,52.5264300327,RA,null,null,null,null,LAL
0022000650,2021-03-21,88b4e794-8b2c-5498-9a51-2e0590af643c,0f905456-f666-5d97-87c2-160baf4bd6cc,NYK,PHI,4,11.7,7.84,SLOB,FGM3,-3,3,1,1,1,1,37.2326227248,Corner,null,null,null,null,PHI
0022000496,2021-02-24,362830ae-c351-5fca-a90e-4cca79f2a62e,1e6c8556-af9f-55cb-9003-c9a69cd0bac9,PHX,CHA,4,5.8,2.94,FTM,FOU_B,-3,1,null,null,null,null,null,null,1,0,2,0,CHA
0022000216,2021-01-20,751b8bbf-25f8-5798-8f50-b1ed7bdbb0a4,a81fabaf-5023-5109-b0f9-07ce03d96248,CLE,BKN,5,18.3,14.72,SLOB,FGX3,-3,0,1,0,1,0,31.9811271629,ATB,null,null,null,null,CLE
0022000650,2021-03-21,7d7b03fd-c39e-5888-8594-45c053468413,42c1fb1f-542d-5a95-bd08-6c98b36f4a32,NYK,PHI,4,19.1,14.92,SLOB,FGX,-3,0,1,0,0,0,54.1647391577,RA,null,null,null,null,PHI
0022000216,2021-01-20,f2424121-dded-5991-b187-a612319da9d0,f728be90-f8f2-5524-88a0-ac8fe8a20712,CLE,BKN,5,5.28,1.26,SLOB,FGM3,-3,3,1,1,1,1,28.3768181677,ATB,null,null,null,null,CLE
0022000287,2021-01-28,9e27b960-58d4-5d65-9ef4-5b6ebf6aa08e,f8b99bec-9a03-5950-b6e2-76d47b2c972f,POR,HOU,4,2.1,0,SLOB,FGX3,-3,0,1,0,1,0,24.6814952588,ATB,null,null,null,null,HOU
0022000280,2021-01-27,fb51b73f-9c81-58b1-96c6-cfb5c043c519,a534853a-f8cf-54d7-970b-8b4eb32ad82a,BOS,SAS,4,8.6,0.74,FTM,FGX3,-3,0,1,0,1,0,51.0966521444,Corner,null,null,null,null,SAS
0022000783,2021-04-07,08bd0405-5925-5c37-873a-44f270afc5cf,2cfb2f1c-42ef-55c1-9d24-ff6b17e29c7d,UTA,PHX,5,10.64,9.1,SLOB,FOU_B,-3,1,null,null,null,null,null,null,1,0,2,0,PHX
0022000175,2021-01-14,b9410446-1094-575d-a031-28f13e7fa74e,c316f7d7-cfaa-5cd8-97c0-51ebf5beb59a,CHA,TOR,4,9.84,1.54,SLOB,FGX3,-3,0,1,0,1,0,45.3361890292,ATB,null,null,null,null,TOR
0022000411,2021-02-14,962fb189-c8e7-50b7-9fdd-cee87370a35f,e8aa39d1-bea0-573d-8736-548b753a7a75,DAL,POR,4,6.9,2.64,SLOB,FGX3,-3,0,1,0,1,0,52.8988422618,ATB,null,null,null,null,POR
0022000248,2021-01-23,245ad01e-5311-5f3f-9159-13d0ac84390d,e05ff89c-cf36-5e6a-a510-76d0a7c0132d,DEN,PHX,4,12.2,0,SLOB,FGM3,-3,3,1,1,1,1,23.6721657686,ATB,null,null,null,null,DEN
0022000469,2021-02-21,cc272dac-f8e6-591b-9c78-3a2495d7af6a,364516cf-16c0-56f1-8475-35c2e81de537,MIN,NYK,4,20.9,17.12,SLOB,FOU_S,-3,1,0,0,0,0,null,NRA,1,1,2,2,NYK
0022000545,2021-03-03,56de6968-57b4-53f6-92dc-9041dbae8109,7cc945f6-5ca9-50be-b7a7-8ccf479b096e,PHI,UTA,4,21.54,6,FTM,FGM3,-3,3,1,1,1,1,36.9541428773,ATB,null,null,null,null,PHI
0022000618,2021-03-17,ded75d51-e5f7-5d93-b523-73e8479e84ce,fa920a23-2249-5901-a29d-8e9387b12d38,PHI,MIL,4,3,0.5,SLOB,FGM3,-3,3,1,1,1,1,66.2026087246,Corner,null,null,null,null,MIL
0022000034,2020-12-27,284b9012-e64f-5be6-a895-9d9f77563a2d,931c5a73-0c83-599d-8816-cf8464c8d8ef,SAS,NOP,4,10.9,2.2,SLOB,FGX3,-3,0,1,0,1,0,17.7042464429,ATB,null,null,null,null,NOP
0022000886,2021-04-21,44d17881-d164-5e5c-b157-aa7b992dee08,4c7cce2b-b28e-5353-a55b-a5282fb799fe,ATL,NYK,4,8.4,6.22,SLOB,FGM3,-3,3,1,1,1,1,42.2342627707,Corner,null,null,null,null,NYK
0022000070,2021-01-01,e9d5c22b-9f41-547e-969a-462a547e6bb4,1bac632e-550f-5f7a-a65a-1e096b1bce85,BOS,DET,4,5.6,1.54,SLOB,FGX3,-3,0,1,0,1,0,32.6953324299,ATB,null,null,null,null,DET
0022000706,2021-03-28,80db9cd9-8597-50ba-8825-8dd6c7bf8ff3,a804e993-474c-57f5-af49-e3303e81a5d5,ORL,LAL,4,5.3,0,SLOB,FGX3,-3,0,1,0,1,0,48.7440187125,ATB,null,null,null,null,LAL
0022000216,2021-01-20,f2424121-dded-5991-b187-a612319da9d0,ac3b3d09-b542-571a-acf3-7aee411750ba,CLE,BKN,5,8.94,5.28,FTM,FOU_N,-3,0,null,null,null,null,null,null,1,0,null,null,CLE
0022000281,2021-01-27,a1cd710f-ee44-517b-8b7f-89884e1c52b4,7dc6743a-562f-57ef-8711-e5bc94c2e07f,PHX,OKC,4,17.8,7.06,SLOB,FGX3,-3,0,1,0,1,0,46.4356757112,ATB,null,null,null,null,OKC
0022000520,2021-02-28,5fa1e1d6-bb05-505e-9a66-76b4ce754769,7cfea36e-4006-5249-8adf-5cd448c9758f,LAC,MIL,4,10.3,3.52,SLOB,FGX3,-3,0,1,0,1,0,43.7661908383,ATB,null,null,null,null,MIL
0022000065,2020-12-31,d0fea802-81ec-5bb5-b567-17f60a4b3151,0ef533ab-f8e2-53f9-9328-cea816015ddc,SAC,HOU,4,15.6,6.54,FTM,FGX3,-3,0,1,0,1,0,48.7184383922,ATB,null,null,null,null,HOU
0022000374,2021-02-08,2bac441a-dac0-5623-bff2-bf3b1f4b643b,23a0878d-8b21-58b6-bafb-f835962deec8,OKC,LAL,4,7.54,1.26,JMP,FOU_S,-3,3,0,0,0,0,null,ATB,1,1,3,3,LAL
0022000997,2021-05-06,969ee6ad-f501-53df-a371-c1e9a52b2992,dc4fde5d-9f12-52f8-ace9-5adcec289be3,TOR,WAS,4,8.3,1.36,FTM,FGM3,-3,3,1,1,1,1,21.6119450573,ATB,null,null,null,null,WAS
0022000076,2021-01-01,28ea5743-afb1-5da9-bc5a-b5b9ebfe54c9,aa741559-28da-57f3-b6bd-ecf6f05bc41e,DEN,PHX,4,2.9,0,SLOB,FGX,-3,0,1,0,0,0,23.9813483601,Mid,null,null,null,null,PHX
0022000252,2021-01-24,af448cf2-b868-5212-b42c-d7aa5db4720d,0ec2876b-a4ae-598e-8dc8-d4992fca4869,ORL,CHA,4,19.24,10.26,FTDRB,FGM3,-3,3,1,1,1,1,46.3145909915,Corner,null,null,null,null,CHA
0022000695,2021-03-27,fe22e98d-01ea-5475-bb18-071ae485ef39,acfbeba3-4fb7-5f8c-95a4-41fad9393fca,MIL,NYK,4,13.42,8.02,SLOB,FGX3,-3,0,1,0,1,0,45.9606298592,ATB,null,null,null,null,NYK
0022000449,2021-02-19,69e4268d-bb2f-5a46-88ea-338af7088884,4f441fd3-11bd-5b95-9b71-c92047cb2c05,GSW,ORL,4,2.9,0.56,SLOB,FGX3,-3,0,1,0,1,0,46.6112358813,ATB,null,null,null,null,ORL
0022000878,2021-04-20,3ae429ac-4a18-5362-bda9-dda395420d90,20ae3f8a-cd4e-53fa-91bd-bf411ace0038,NOP,BKN,4,10.5,6.08,FTM,FOU_B,-3,1,null,null,null,null,null,null,1,0,2,0,BKN
0022000022,2020-12-26,f1bed528-d66b-5220-9c0a-e319d2fc8328,ac15c03f-3609-578d-ae0f-8802df4aaecc,CHA,OKC,4,15.7,11.2,FTM,FGM3,-3,3,1,1,1,1,56.865343307,Corner,null,null,null,null,OKC
0022000334,2021-02-03,42618569-819e-52ce-888c-68a89d14b33a,f0d2e68b-dd0c-53b9-91bd-d3b4e08343c3,MIN,SAS,4,18.1,8.56,FTM,FOU_N,-3,0,null,null,null,null,null,null,1,0,null,null,SAS
0022000695,2021-03-27,fe22e98d-01ea-5475-bb18-071ae485ef39,970c3735-61ec-57b1-9c68-968afea6df0f,MIL,NYK,4,14.4,13.42,SLOB,FOU_N,-3,0,null,null,null,null,null,null,1,0,null,null,NYK
0022000106,2021-01-05,8d330aa4-b8ef-5797-9d45-c9f533e2598d,6b18dab6-21bf-5298-818a-c546a5a0342d,POR,CHI,4,4.7,1.08,SLOB,FGX3,-3,0,1,0,1,0,32.2760632846,ATB,null,null,null,null,CHI
